Date,Cumulative E disp,Cumulative N disp,Name,Source
2016-02-06,0.0,0.0,Peg 05,cosicorr
2016-11-22,-1.9670894145965576,-7.565186500549316,Peg 05,cosicorr
2017-04-21,0.9485979080200195,-3.457639694213867,Peg 05,cosicorr
2017-05-01,2.230211019515991,-2.8024089336395264,Peg 05,cosicorr
2017-05-21,1.7174142599105835,-2.08821702003479,Peg 05,cosicorr
2017-08-04,-0.8837257623672485,-3.9653806686401367,Peg 05,cosicorr
2017-10-13,-1.9834257364273071,-6.408135414123535,Peg 05,cosicorr
2017-11-22,-1.7320762872695923,-8.900136947631836,Peg 05,cosicorr
2018-03-17,0.7641173601150513,-3.7659554481506348,Peg 05,cosicorr
2018-07-05,0.5326057076454163,-3.762331485748291,Peg 05,cosicorr
2018-10-18,-1.9224488735198975,-7.274772644042969,Peg 05,cosicorr
2019-03-02,3.2922513484954834,-2.379049777984619,Peg 05,cosicorr
2019-11-02,-2.2329366207122803,-7.766435623168945,Peg 05,cosicorr
2019-11-22,-2.266287088394165,-7.036608695983887,Peg 05,cosicorr
2020-02-10,-1.212968349456787,-4.850129127502441,Peg 05,cosicorr
2020-03-31,1.324190616607666,-3.298752784729004,Peg 05,cosicorr
2020-04-10,1.1201512813568115,-2.686898708343506,Peg 05,cosicorr
2020-07-09,0.14837205410003662,-4.209484100341797,Peg 05,cosicorr
2020-08-03,0.32825613021850586,-4.695870876312256,Peg 05,cosicorr
2020-12-16,-2.4860851764678955,0.693570613861084,Peg 05,cosicorr
2021-01-25,-4.863712787628174,-2.3178610801696777,Peg 05,cosicorr
2021-02-19,-4.168492794036865,-6.014897346496582,Peg 05,cosicorr
2021-03-16,-2.643965244293213,-4.645537376403809,Peg 05,cosicorr
2016-02-06,0.0,0.0,Peg 11,cosicorr
2016-11-22,0.2219800353050232,-2.011775255203247,Peg 11,cosicorr
2017-04-21,0.46049395203590393,-4.8864030838012695,Peg 11,cosicorr
2017-05-01,0.35321396589279175,-4.720150470733643,Peg 11,cosicorr
2017-05-21,0.60904860496521,-5.192595958709717,Peg 11,cosicorr
2017-08-04,0.22490280866622925,-4.769203186035156,Peg 11,cosicorr
2017-10-13,0.7548794746398926,-4.354628086090088,Peg 11,cosicorr
2017-11-22,0.5561953783035278,-3.7556114196777344,Peg 11,cosicorr
2018-03-17,-0.20499145984649658,-5.301794052124023,Peg 11,cosicorr
2018-07-05,0.855027437210083,-5.8245930671691895,Peg 11,cosicorr
2018-10-18,1.0082091093063354,-5.8607635498046875,Peg 11,cosicorr
2019-03-02,0.009447932243347168,-6.246951103210449,Peg 11,cosicorr
2019-11-02,0.5873451232910156,-7.041813850402832,Peg 11,cosicorr
2019-11-22,0.12748724222183228,-6.688806533813477,Peg 11,cosicorr
2020-02-10,-0.5865060091018677,-7.933143138885498,Peg 11,cosicorr
2020-03-31,0.5449751615524292,-8.733009338378906,Peg 11,cosicorr
2020-04-10,0.23384085297584534,-9.406866073608398,Peg 11,cosicorr
2020-07-09,1.2075085639953613,-8.423423767089844,Peg 11,cosicorr
2020-08-03,0.7826037406921387,-7.940088272094727,Peg 11,cosicorr
2020-12-16,1.1009005308151245,-6.625152587890625,Peg 11,cosicorr
2021-01-25,1.6850697994232178,-5.702579975128174,Peg 11,cosicorr
2021-02-19,0.7126449942588806,-7.370850563049316,Peg 11,cosicorr
2021-03-16,0.49844080209732056,-8.659158706665039,Peg 11,cosicorr
2016-02-06,0.0,0.0,Peg 14,cosicorr
2016-11-22,-0.18263234198093414,-3.3289549350738525,Peg 14,cosicorr
2017-04-21,0.07100604474544525,-7.977385520935059,Peg 14,cosicorr
2017-05-01,0.06342378258705139,-8.156646728515625,Peg 14,cosicorr
2017-05-21,0.33199355006217957,-9.600584983825684,Peg 14,cosicorr
2017-08-04,0.36175695061683655,-7.620502948760986,Peg 14,cosicorr
2017-10-13,0.8410504460334778,-7.172208786010742,Peg 14,cosicorr
2017-11-22,1.3055540323257446,-6.626159191131592,Peg 14,cosicorr
2018-03-17,1.110254168510437,-8.486632347106934,Peg 14,cosicorr
2018-07-05,1.546983242034912,-10.587350845336914,Peg 14,cosicorr
2018-10-18,1.7730610370635986,-10.241321563720703,Peg 14,cosicorr
2019-03-02,1.2864806652069092,-10.391757011413574,Peg 14,cosicorr
2019-11-02,2.4049763679504395,-12.166199684143066,Peg 14,cosicorr
2019-11-22,2.062331199645996,-11.6149263381958,Peg 14,cosicorr
2020-02-10,0.9372234344482422,-12.418879508972168,Peg 14,cosicorr
2020-03-31,2.005063056945801,-12.905623435974121,Peg 14,cosicorr
2020-04-10,1.49943208694458,-13.407966613769531,Peg 14,cosicorr
2020-07-09,2.274850845336914,-13.956331253051758,Peg 14,cosicorr
2020-08-03,2.3943893909454346,-12.416784286499023,Peg 14,cosicorr
2020-12-16,2.736905336380005,-12.638596534729004,Peg 14,cosicorr
2021-01-25,3.3122169971466064,-11.802262306213379,Peg 14,cosicorr
2021-02-19,1.92445707321167,-12.79023551940918,Peg 14,cosicorr
2021-03-16,1.3469510078430176,-13.749168395996094,Peg 14,cosicorr
2016-02-06,0.0,0.0,Peg 21,cosicorr
2016-11-22,-0.8706903457641602,5.393918514251709,Peg 21,cosicorr
2017-04-21,1.8743579387664795,-6.259927272796631,Peg 21,cosicorr
2017-05-01,1.342155933380127,-6.683108806610107,Peg 21,cosicorr
2017-05-21,0.49919432401657104,-8.658778190612793,Peg 21,cosicorr
2017-08-04,2.3955554962158203,-4.650713920593262,Peg 21,cosicorr
2017-10-13,2.2212610244750977,-2.834555149078369,Peg 21,cosicorr
2017-11-22,2.4953229427337646,-2.6786487102508545,Peg 21,cosicorr
2018-03-17,5.222379684448242,-10.557559967041016,Peg 21,cosicorr
2018-07-05,3.660362482070923,-13.073527336120605,Peg 21,cosicorr
2018-10-18,4.6232218742370605,-9.723162651062012,Peg 21,cosicorr
2019-03-02,6.783329486846924,-16.427093505859375,Peg 21,cosicorr
2019-11-02,6.251581192016602,-15.169651985168457,Peg 21,cosicorr
2019-11-22,6.073674201965332,-14.392269134521484,Peg 21,cosicorr
2020-02-10,8.814253807067871,-18.86005401611328,Peg 21,cosicorr
2020-03-31,8.631393432617188,-22.65106773376465,Peg 21,cosicorr
2020-04-10,8.370566368103027,-23.356342315673828,Peg 21,cosicorr
2020-07-09,6.809575080871582,-20.725627899169922,Peg 21,cosicorr
2020-08-03,8.372815132141113,-19.380746841430664,Peg 21,cosicorr
2020-12-16,7.708693981170654,-16.558340072631836,Peg 21,cosicorr
2021-01-25,6.30255651473999,-11.607723236083984,Peg 21,cosicorr
2021-02-19,10.139842987060547,-22.036998748779297,Peg 21,cosicorr
2021-03-16,9.670967102050781,-24.900529861450195,Peg 21,cosicorr
2016-02-06,0.0,0.0,Peg 22,cosicorr
2016-11-22,-30.381160736083984,-9.866177558898926,Peg 22,cosicorr
2017-04-21,-8.781242370605469,-20.88922119140625,Peg 22,cosicorr
2017-05-01,-11.028908729553223,-18.7957763671875,Peg 22,cosicorr
2017-05-21,-10.116926193237305,-20.091136932373047,Peg 22,cosicorr
2017-08-04,-10.531326293945312,-19.73197364807129,Peg 22,cosicorr
2017-10-13,-3.129789352416992,-19.96904754638672,Peg 22,cosicorr
2017-11-22,-18.458213806152344,-16.261266708374023,Peg 22,cosicorr
2018-03-17,-16.494050979614258,-15.588191986083984,Peg 22,cosicorr
2018-07-05,-8.524812698364258,-21.60087776184082,Peg 22,cosicorr
2018-10-18,-4.509932518005371,-23.51194190979004,Peg 22,cosicorr
2019-03-02,-12.766448020935059,-18.60972785949707,Peg 22,cosicorr
2019-11-02,-6.874020099639893,-26.824161529541016,Peg 22,cosicorr
2019-11-22,-13.106683731079102,-26.19285011291504,Peg 22,cosicorr
2020-02-10,-11.04810905456543,-28.039657592773438,Peg 22,cosicorr
2020-03-31,-8.282154083251953,-23.631698608398438,Peg 22,cosicorr
2020-04-10,-11.666975021362305,-24.448328018188477,Peg 22,cosicorr
2020-07-09,-4.960971832275391,-24.6973934173584,Peg 22,cosicorr
2020-08-03,-6.479438304901123,-24.035449981689453,Peg 22,cosicorr
2020-12-16,-14.896198272705078,-28.44751739501953,Peg 22,cosicorr
2021-01-25,-14.619988441467285,-28.862524032592773,Peg 22,cosicorr
2021-02-19,-9.625298500061035,-27.14813232421875,Peg 22,cosicorr
2021-03-16,-8.173141479492188,-26.17721176147461,Peg 22,cosicorr
2015-07-03,0.0,0.0,Peg 05,gps
2015-09-30,-0.0159999998286366,-0.069000001065433,Peg 05,gps
2015-12-07,-0.015133999986574,-0.065778000280261,Peg 05,gps
2016-03-17,0.0175730001647025,-0.0753419995307922,Peg 05,gps
2016-07-11,-0.0309310001321136,-0.126927500590682,Peg 05,gps
2016-10-23,-0.0272630001418292,-0.2224265011027455,Peg 05,gps
2016-12-14,-0.0468640001490712,-0.2861585011705756,Peg 05,gps
2017-03-20,-0.0167849999852478,-0.2952815005555749,Peg 05,gps
2017-06-29,-0.0653940001502633,-0.3470845008268952,Peg 05,gps
2017-10-11,-0.0742320001590997,-0.4345645010471344,Peg 05,gps
2018-03-27,-0.0927930001635104,-0.507234500721097,Peg 05,gps
2018-10-09,-0.1047239999752491,-0.6717345006763935,Peg 05,gps
2019-12-18,-0.1100260000675916,-0.850903500802815,Peg 05,gps
2015-07-03,0.0,0.0,Peg 11,gps
2015-12-07,0.0158659999724477,-0.3417780008167028,Peg 11,gps
2016-03-17,0.0522460001520812,-0.4604399995878339,Peg 11,gps
2016-07-11,0.0373129998333752,-0.6527145011350513,Peg 11,gps
2016-10-23,0.1067309998907148,-1.1083825007081032,Peg 11,gps
2017-03-20,0.1182249998673796,-1.371377500705421,Peg 11,gps
2017-06-29,0.1631769998930394,-1.6502925008535383,Peg 11,gps
2017-10-11,0.2515069998335093,-2.1469265008345246,Peg 11,gps
2018-03-27,0.3082099999301135,-2.6593175008893013,Peg 11,gps
2018-10-09,0.3908769998233765,-3.404787501320243,Peg 11,gps
2020-02-20,0.5154319999273866,-4.504336500540376,Peg 11,gps
2015-07-03,0.0,0.0,Peg 14,gps
2015-09-30,0.1250000002328306,-0.5750000001862645,Peg 14,gps
2015-12-07,0.1938660000450909,-0.8927780007943511,Peg 14,gps
2016-03-17,0.2877270001918077,-1.2104699993506074,Peg 14,gps
2016-07-11,0.4053809999022633,-1.558058500289917,Peg 14,gps
2016-10-23,0.5601359999272972,-2.5195605009794235,Peg 14,gps
2016-12-14,0.6341889998875558,-2.911539500579238,Peg 14,gps
2017-03-20,0.7227069998625666,-3.2706115003675222,Peg 14,gps
2017-06-29,0.8960730000399053,-4.040582500398159,Peg 14,gps
2017-10-11,1.1864829999394717,-5.2919415002688766,Peg 14,gps
2018-03-27,1.5126320000272244,-6.5181215004995465,Peg 14,gps
2018-10-09,1.9645060000475496,-8.288911500945687,Peg 14,gps
2020-02-20,2.626092999940738,-10.650951500982046,Peg 14,gps
2015-07-03,0.0,0.0,Peg 21,gps
2015-09-30,1.2570000002160668,-3.049000001512468,Peg 21,gps
2015-12-07,3.358866000082344,-4.993778001517057,Peg 21,gps
2016-03-17,2.263073000125587,-5.439065000042319,Peg 21,gps
2016-07-11,2.623841000022366,-6.452151501551271,Peg 21,gps
2016-10-23,3.850464999908581,-9.414110501296818,Peg 21,gps
2016-12-14,4.2682260000146925,-10.421396501362324,Peg 21,gps
2017-03-20,4.521760999923572,-11.090236501768231,Peg 21,gps
2017-06-29,5.790555999847129,-13.971202501095831,Peg 21,gps
2017-10-11,7.89700199989602,-18.246762501075864,Peg 21,gps
2018-03-27,9.259646999882534,-20.971088501624763,Peg 21,gps
2018-10-09,12.483143999939784,-27.046539501287043,Peg 21,gps
2019-12-18,20.35600099992007,-39.37670850101858,Peg 21,gps
2015-07-03,0.0,0.0,Peg 22,gps
2015-09-30,3.752000000094995,-2.695000001229346,Peg 22,gps
2015-12-07,7.726865999866277,-4.648778000846505,Peg 22,gps
2016-03-17,7.809698000084609,-5.473954999819398,Peg 22,gps
2016-07-11,9.707503999816254,-6.788191501051188,Peg 22,gps
2016-10-23,15.169979999773204,-10.196236500516534,Peg 22,gps
2016-12-14,17.295319999800995,-11.462829501368104,Peg 22,gps
2017-03-20,18.718166999751706,-12.320733500644565,Peg 22,gps
2017-06-29,24.40433299983852,-15.587474500760436,Peg 22,gps
2017-10-11,32.9932719997596,-20.382386500947177,Peg 22,gps
2018-03-27,42.167439999757335,-25.27914050128311,Peg 22,gps
