Name,Easting,Northing,row,column
Peg 05,401864.9283032848,5599634.816406395,118,79
Peg 11,401697.90087304136,5599280.503948357,127,74
Peg 14,401694.8038717443,5599142.781357283,130,74
Peg 21,401809.34125312755,5598823.821932256,138,77
Peg 22,401768.4078909826,5598723.512741158,141,76
